article,person
130007423473,P00087
130007423473,P00068
130007423473,P00075
130007423473,P00001
130007423473,P00069
130007423473,P00070
130007423473,P00003
130007423490,P00075
130007423490,P00001
130007423490,P00003
130007423507,P00067
130007423507,P00068
130007423507,P00001
130007423507,P00069
130007423507,P00070
130007423507,P00003
130007423603,P00145
130007423603,P00002
130007423603,P00001
130007423603,P00003
130007423603,P00134
130007423676,P00144
130007423676,P00001
130007423676,P00002
130007423676,P00003
130007423676,P00134
130007423719,P00128
130007423719,P00001
130007423719,P00134
130007423936,P00128
130007423936,P00001
130007424322,P00067
130007424322,P00001
130007424322,P00069
130007424322,P00070
130007424322,P00003
130007424720,P00001
130007424720,P00068
130007424720,P00069
130007424720,P00070
130007424720,P00003
130007424881,P00128
130007424881,P00001
130007424881,P00134
130007425249,P00092
130007425249,P00001
130007425249,P00148
130007425249,P00003
130007425279,P00067
130007425279,P00068
130007425279,P00001
130007425279,P00069
130007425279,P00070
130007425279,P00003
130007425461,P00001
130007425461,P00144
130007425461,P00002
130007425461,P00003
130007426030,P00140
130007426030,P00001
130007426030,P00070
130007426030,P00003
130007426098,P00001
130007426098,P00067
130007426098,P00068
130007426098,P00069
130007426098,P00070
130007426098,P00003
130007426338,P00149
130007426338,P00150
130007426338,P00140
130007426338,P00139
130007426338,P00001
130007426338,P00151
130007426338,P00152
130007426338,P00141
130007426338,P00153
130007426338,P00005
130007426517,P00136
130007426517,P00001
130007426597,P00066
130007426597,P00001
130007426597,P00003
130007426678,P00140
130007426678,P00154
130007426678,P00001
130007426678,P00069
130007426678,P00070
130007426678,P00003
130007426719,P00149
130007426719,P00150
130007426719,P00155
130007426719,P00139
130007426719,P00001
130007426776,P00001
130007426776,P00002
130007426776,P00003
130007426890,P00120
130007426890,P00146
130007426890,P00043
130007426890,P00156
130007426890,P00065
130007426890,P00139
130007426890,P00001
130007426890,P00124
130007426890,P00157
130007426890,P00158
130007426890,P00159
130007426890,P00160
130007426890,P00153
130007426890,P00161
130007427006,P00069
130007427006,P00162
130007427006,P00163
130007427006,P00164
130007427006,P00165
130007427006,P00001
130007427006,P00070
130007543134,P00001
130007543134,P00003
130007543134,P00072
130007543134,P00114
130007658351,P00166
130007658351,P00167
130007658351,P00168
130007658351,P00169
130007658351,P00170
130007658351,P00001
130007658351,P00146
130007658351,P00171
130007658351,P00172
130007658351,P00173
130007658351,P00174
130007658351,P00175
130007658351,P00176
130007658351,P00177
130007658351,P00178
130007658351,P00179
130007658351,P00180
130007658351,P00181
130007658351,P00182
130007658351,P00005
130007658351,P00157
130007658351,P00183
130007658351,P00184
130007658351,P00185
130007658351,P00186
130007658351,P00187
130007658351,P00188
130007658351,P00189
130007849959,P00001
130007849959,P00005
130007856718,P00149
130007856718,P00150
130007856718,P00139
130007856718,P00140
130007856718,P00001
130007856718,P00151
130007856718,P00152
130007856718,P00153
130007856718,P00141
130007856718,P00005
130007856724,P00120
130007856724,P00146
130007856724,P00190
130007856724,P00171
130007856724,P00191
130007856724,P00172
130007856724,P00192
130007856724,P00173
130007856724,P00001
130007856724,P00124
130007856724,P00157
130007856724,P00193
130007856724,P00183
130007856724,P00194
130007856724,P00184
130007856724,P00195
130007856724,P00185
130007856724,P00005
130007883187,P00001
130007883187,P00005
130007917139,P00001
130007917139,P00120
130007917139,P00196
130007917139,P00197
130007917139,P00198
130007917139,P00199
130007917302,P00001
130007917334,P00001
130007917463,P00001
130007917463,P00200
130007917463,P00201
130007917463,P00202
130007917606,P00120
130007917606,P00146
130007917606,P00171
130007917606,P00172
130007917606,P00173
130007917606,P00174
130007917606,P00175
130007917606,P00176
130007917606,P00177
130007917606,P00167
130007917606,P00168
130007917606,P00169
130007917606,P00170
130007917606,P00001
130007917632,P00203
130007917632,P00001
130007917721,P00204
130007917721,P00001
130007917721,P00043
130007917743,P00202
130007917743,P00205
130007917743,P00001
130007917767,P00001
130007917767,P00202
170000086272,P00206
170000086272,P00207
170000086272,P00208
170000086272,P00012
170000149588,P00001
170000149588,P00209
170000149588,P00210
170000165559,P00211
170000165559,P00212
170000165559,P00049
170000165559,P00001
170000165559,P00048
170000165559,P00050
170000174464,P00213
170000174464,P00001
170000174464,P00134
170000182434,P00214
170000182434,P00001
170000182434,P00134
190000007476,P00215
40004865981,P00001
40004865981,P00000
40004865981,P00216
40004866069,P00021
40004866069,P00001
40004866069,P00002
40005540465,P00001
40005540465,P00002
40005540465,P00003
40005540466,P00025
40005540466,P00001
40005540466,P00002
40007334796,P00001
40018280536,P00066
40018280536,P00001
40018280536,P00003
40018764236,P00069
40018764236,P00001
40018764236,P00068
40020008274,P00027
40020008274,P00001
40020008274,P00002
40020008851,P00025
40020008851,P00001
40020008851,P00002
40020009667,P00027
40020009667,P00001
40020009667,P00002
40020011852,P00021
40020011852,P00001
40020011852,P00002
40020016814,P00001
40020016814,P00002
40020016814,P00020
40020077176,P00128
40020077176,P00001
40020077302,P00001
40020077302,P00144
40020077302,P00002
40020077335,P00144
40020077335,P00001
40020077335,P00002
40020078470,P00067
40020078470,P00001
40020078470,P00069
40020228636,P00025
40020228636,P00001
40020228636,P00002
40020229867,P00001
40020229867,P00075
40020229867,P00025
40020230964,P00027
40020230964,P00001
40020230964,P00002
40020232535,P00001
40020232535,P00112
40020232535,P00002
40020232837,P00025
40020232837,P00001
40020232837,P00002
40020232854,P00027
40020232854,P00001
40020232854,P00002
40020235050,P00087
40020235050,P00068
40020235050,P00001
40020235149,P00001
40020235149,P00099
40020235149,P00100
40020235425,P00068
40020235425,P00087
40020235425,P00001
40020237917,P00027
40020237917,P00001
40020237917,P00002
40020239722,P00092
40020239722,P00001
40020239722,P00003
40020239899,P00041
40020239899,P00001
40020239899,P00003
40020240297,P00027
40020240297,P00001
40020240297,P00002
40020252127,P00001
40020252127,P00002
40020252127,P00003
40020254742,P00001
40020254742,P00068
40020254742,P00069
40020256323,P00067
40020256323,P00068
40020256323,P00001
40020257341,P00092
40020257341,P00001
40020257341,P00148
40020259769,P00068
40020259769,P00087
40020259769,P00001
40020259810,P00087
40020259810,P00068
40020259810,P00001
40020263795,P00075
40020263795,P00001
40020263795,P00003
40020264013,P00066
40020264013,P00001
40020264013,P00003
40020264258,P00067
40020264258,P00068
40020264258,P00001
40020264263,P00001
40020264263,P00128
40020264263,P00003
40020285799,P00138
40020285799,P00001
40020285799,P00003
40020291075,P00128
40020291075,P00001
40020293073,P00140
40020293073,P00001
40020293073,P00070
40020293874,P00001
40020293874,P00067
40020293874,P00068
40020297261,P00001
40020297261,P00002
40020297261,P00003
40020492811,P00144
40020492811,P00001
40020492811,P00002
40020492831,P00140
40020492831,P00154
40020492831,P00001
40020496417,P00128
40020496417,P00001
40020496417,P00134
40020496427,P00145
40020496427,P00002
40020496427,P00001
40020545330,P00001
40020775891,P00049
40020775891,P00048
40020775891,P00050
40020775891,P00001
40020883692,P00001
40020883692,P00217
40020883692,P00218
40021462921,P00146
40021462921,P00120
40021462921,P00001
40021462921,P00147
40021676423,P00001
